Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
-0.03,2.3,7.77,-0.22999999,0.17999999,0.66999996,1545104632504,0
2.48,2.71,6.5499997,-0.22999999,0.14999999,0.099999994,1545104632704,0
0.39999998,6.0,6.2,0.02,0.06,-0.74,1545104632905,0
0.12,5.7799997,6.31,0.02,0.06,-0.74,1545104633104,0
0.98999995,4.2799997,8.26,0.049999997,0.03,0.35999998,1545104633304,0
0.17,5.0899997,8.2,0.12,0.07,0.28,1545104633504,0
1.53,5.6299996,7.3799996,0.02,0.03,0.08,1545104633705,0
1.9699999,4.18,9.2699995,0.04,-0.02,-0.48,1545104633912,0
0.52,4.88,8.57,0.0,-0.13,-0.14999999,1545104634104,0
0.77,4.67,11.719999,0.0,-0.13,-0.14999999,1545104634304,0
1.65,5.56,9.24,-0.089999996,0.08,0.39,1545104634505,0
2.48,3.1699998,10.41,-0.06,0.03,0.39999998,1545104634704,0
2.06,5.74,8.4,0.03,-0.099999994,-0.62,1545104634904,0
2.61,7.6499996,9.82,0.0,-0.17999999,-0.08,1545104635104,0
0.82,4.35,8.96,0.32999998,-0.01,0.57,1545104635311,1
2.1599998,5.69,7.6099997,0.29,-0.01,-0.06,1545104635505,1
1.7099999,8.139999,8.08,0.29,-0.01,-0.06,1545104635708,1
1.49,6.3199997,6.23,-0.19999999,-0.099999994,-0.39,1545104635904,1
2.46,3.81,11.54,0.04,-0.089999996,-0.21,1545104636103,1
1.39,5.0099998,10.44,0.14,-0.01,0.12,1545104636304,1
1.4599999,12.21,6.8599997,0.19999999,0.28,0.099999994,1545104636503,1
2.35,6.74,13.63,-0.099999994,-0.26,-0.42,1545104636705,1
2.75,0.049999997,10.2699995,-0.099999994,-0.26,-0.42,1545104636904,1
1.27,1.75,8.849999,-0.74,0.11,0.55,1545104637104,1
1.91,2.7,7.27,0.65999997,-0.13,-0.59,1545104637304,1
2.6499999,5.25,10.16,-0.04,-0.04,0.47,1545104637507,1
4.94,5.19,10.2699995,-0.52,-0.089999996,-0.21,1545104637706,1
2.5,-5.68,9.719999,-0.96999997,0.12,0.12,1545104637904,1
-0.96999997,7.27,0.66999996,0.19999999,0.08,-0.089999996,1545104638104,1
-0.65999997,2.31,0.91999996,0.11,0.17,0.13,1545104638304,1
1.53,-0.79999995,11.75,-1.0799999,-0.07,-0.26,1545104638504,1
-1.56,2.87,7.4199996,-0.22,0.089999996,0.39999998,1545104638705,1
-0.91999996,4.11,9.29,0.72999996,0.11,0.31,1545104638905,1
2.4199998,14.82,4.69,0.72999996,0.11,0.31,1545104639104,1
1.25,4.0499997,10.69,1.06,-0.049999997,-0.45,1545104639304,1
-9.32,11.09,0.25,1.38,0.07,-0.13,1545104639505,1
0.48999998,5.38,7.3399997,0.59999996,-0.07,-0.16,1545104639705,1
9.639999,-17.06,32.54,-2.12,0.0,0.75,1545104639905,1
-0.58,-6.56,21.939999,-2.12,0.0,0.75,1545104640104,1
0.26,5.0099998,9.76,-0.56,0.049999997,-0.049999997,1545104640313,0
-3.55,0.79999995,30.429998,0.25,-0.03,-0.59,1545104640507,0
1.04,4.0699997,8.95,0.25,-0.03,-0.59,1545104640704,0
2.77,-3.9299998,22.34,0.39,0.14,0.04,1545104640904,0
0.97999996,-1.2099999,13.42,-1.76,0.08,0.04,1545104641104,0
1.62,-1.0699999,12.389999,-0.089999996,-0.25,-0.77,1545104641303,0
2.7,18.22,9.01,-0.72999996,0.099999994,0.69,1545104641504,0
2.69,11.23,7.5099998,0.29,-0.07,0.31,1545104641704,0
4.11,1.8299999,8.65,-0.21,-0.16,-0.59999996,1545104641904,0
2.87,3.37,8.41,1.02,-0.13,-0.11,1545104642104,0
1.7099999,9.01,9.62,1.02,-0.13,-0.11,1545104642304,0
