Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
-0.14,5.3399997,9.42,-0.049999997,0.08,-0.01,1545104760204,0
0.04,2.49,8.01,-0.13,0.07,0.13,1545104760404,0
-0.02,5.6,9.139999,-0.16,0.049999997,-0.17,1545104760605,0
-0.21,5.6299996,10.3,0.01,-0.049999997,-0.14999999,1545104760804,0
0.24,6.29,10.219999,0.04,0.01,0.28,1545104761004,0
0.34,5.7999997,13.87,-0.12,0.06,0.19999999,1545104761205,0
-0.16,6.3999996,9.24,-0.12,0.06,0.19999999,1545104761404,0
-0.04,4.0699997,8.83,-0.11,-0.01,-0.14999999,1545104761604,0
0.099999994,5.27,6.5299997,0.11,0.049999997,0.26999998,1545104761805,0
-0.74,5.48,5.2799997,0.11,0.049999997,0.26999998,1545104762004,0
0.14,5.37,8.8,-0.02,-0.03,-0.29,1545104762204,0
-0.47,7.3399997,8.8,-0.07,-0.12,-0.61,1545104762404,0
-0.48999998,3.6599998,8.059999,-0.17,-0.14,0.14999999,1545104762605,0
-0.02,3.4399998,9.42,-0.21,-0.14999999,0.13,1545104762805,0
0.48999998,7.06,10.66,-0.07,0.02,0.58,1545104763005,0
1.43,5.29,8.309999,-0.089999996,0.14,0.52,1545104763205,0
0.81,3.1799998,10.79,-0.089999996,0.14,0.52,1545104763404,0
0.02,5.73,12.04,0.03,0.099999994,-0.19999999,1545104763605,0
1.23,4.61,8.22,0.12,0.02,-0.25,1545104763805,0
-0.35999998,6.18,7.71,-0.08,0.08,0.07,1545104764005,0
-0.96,4.15,8.8,-0.08,0.08,0.07,1545104764203,0
0.65999997,4.5499997,8.599999,-0.07,-0.22,-0.22,1545104764403,0
-0.79999995,5.5299997,8.55,-0.07,-0.22,-0.22,1545104764604,0
-0.35999998,4.23,9.679999,0.02,0.049999997,0.26999998,1545104764805,0
0.72999996,5.5499997,8.66,-0.08,0.03,0.0,1545104765009,0
0.56,1.9399999,5.69,-0.08,0.03,0.0,1545104765204,0
0.48,3.05,7.54,-0.06,0.089999996,0.14999999,1545104765403,1
-0.37,5.81,8.42,-0.04,-0.14999999,-0.22999999,1545104765607,1
0.29,6.04,12.7699995,-0.16,-0.099999994,0.13,1545104765809,1
-1.7099999,-1.26,11.44,-0.16,-0.099999994,0.13,1545104766004,1
0.11,-3.1299999,10.849999,0.04,0.02,-0.06,1545104766233,1
-0.75,1.74,11.49,0.04,0.02,-0.06,1545104766404,1
0.7,4.39,7.8599997,0.41,0.0,-0.19999999,1545104766604,1
0.58,7.0,7.96,0.08,-0.089999996,0.04,1545104766804,1
0.35,4.63,8.67,0.01,-0.099999994,0.04,1545104767004,1
-0.14999999,4.0899997,8.71,0.01,-0.099999994,0.04,1545104767204,1
3.0,4.27,9.01,-0.03,-0.14999999,-0.02,1545104767404,1
2.19,4.44,8.9,0.01,-0.11,0.45999998,1545104767603,1
1.37,4.41,8.87,-0.01,0.0,0.04,1545104767808,1
1.6899999,3.8799999,8.61,0.0,0.0,0.06,1545104768004,1
1.5899999,4.39,8.83,0.0,0.0,0.06,1545104768204,1
1.87,4.22,8.889999,-0.01,-0.01,0.03,1545104768404,0
1.7099999,4.24,8.929999,-0.01,-0.01,0.03,1545104768603,0
1.79,4.2,8.92,0.0,0.0,0.02,1545104768804,0
1.8299999,4.2599998,8.889999,0.0,0.0,0.02,1545104769004,0
1.2099999,-5.23,7.06,0.01,0.0,0.0,1545104769203,0
1.55,4.35,8.88,0.07,0.0,-0.04,1545104769403,0
1.61,4.39,8.92,0.0,0.0,0.01,1545104769603,0
1.5799999,4.2599998,8.94,0.0,0.0,0.01,1545104769804,0
2.02,4.16,8.84,0.01,0.07,0.29,1545104770004,0
