Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
0.04,5.19,8.96,-0.02,0.0,0.22999999,1545104878365,0
1.27,4.81,9.16,0.07,0.03,0.19,1545104878565,0
0.26999998,4.04,7.7,0.08,-0.17,-0.5,1545104878765,0
1.01,4.98,8.04,0.12,-0.049999997,0.12,1545104878965,0
1.7099999,6.49,7.7999997,0.12,-0.049999997,0.12,1545104879165,0
0.79999995,4.43,6.93,0.11,0.07,0.22,1545104879365,0
1.66,6.0,9.5199995,0.0,0.02,-0.08,1545104879565,0
2.72,5.21,8.82,0.07,-0.11,-0.22,1545104879765,0
3.46,3.75,12.15,0.17,-0.06,-0.12,1545104879965,0
-1.3399999,4.79,6.8799996,0.099999994,-0.01,-0.42999998,1545104880164,0
0.01,3.07,10.0199995,0.099999994,-0.01,-0.42999998,1545104880364,0
1.01,6.43,7.79,0.06,-0.04,0.11,1545104880564,0
0.79999995,6.67,9.33,-0.04,0.03,-0.049999997,1545104880764,0
2.19,5.7,9.01,-0.04,0.03,-0.049999997,1545104880964,0
0.93,4.69,9.0,-0.06,0.099999994,0.22999999,1545104881165,0
0.12,6.04,10.07,-0.06,0.099999994,0.22999999,1545104881364,0
0.95,6.1,7.75,0.0,0.13,0.21,1545104881564,0
1.27,3.74,9.26,-0.07,-0.04,-0.19999999,1545104881765,0
1.4399999,4.79,8.2699995,0.049999997,0.06,-0.04,1545104881965,0
0.39999998,4.88,8.559999,0.07,0.0,0.01,1545104882164,0
0.89,4.64,9.07,0.07,0.0,0.01,1545104882364,0
2.24,3.8999999,9.09,-0.03,0.08,0.19999999,1545104882565,0
1.11,5.7,8.42,0.07,-0.01,-0.41,1545104882765,0
0.53999996,4.35,8.42,-0.02,-0.06,-0.31,1545104882969,1
-0.53,4.0499997,10.2699995,-0.02,-0.06,-0.31,1545104883164,1
1.18,4.79,8.44,0.08,0.099999994,0.38,1545104883364,1
2.29,4.0099998,9.07,-0.02,0.02,0.29,1545104883564,1
1.14,4.7999997,8.809999,0.07,0.04,-0.19,1545104883764,1
0.96999997,4.46,9.38,0.0,-0.06,-1.22,1545104883964,1
2.05,5.96,12.0,0.01,-0.17,-1.79,1545104884163,1
1.38,4.56,12.55,0.0,-0.22,-0.89,1545104884365,1
-1.43,3.49,8.01,0.25,-0.38,-1.39,1545104884564,1
-2.59,3.76,8.74,0.31,-0.39999998,-0.94,1545104884764,1
0.26,3.83,6.91,0.19999999,-0.37,-0.76,1545104884965,1
-0.48,3.6399999,8.78,0.19999999,-0.37,-0.76,1545104885166,1
1.39,5.02,7.41,0.07,-0.32,-0.41,1545104885364,1
-0.14999999,7.31,10.2699995,0.26999998,-0.32999998,-0.24,1545104885564,1
-1.28,4.8399997,10.099999,0.14,-0.32999998,-0.47,1545104885764,1
-1.11,5.6299996,7.46,0.17999999,-0.25,0.0,1545104885964,1
-1.11,6.81,6.79,0.07,0.01,0.06,1545104886168,1
0.63,5.0,8.42,0.07,0.01,0.06,1545104886363,1
0.07,6.15,7.0099998,0.0,-0.22,-0.29,1545104886564,1
0.34,4.61,7.6499996,-0.049999997,-0.07,0.17,1545104886764,1
0.02,4.87,9.32,0.06,0.049999997,0.32,1545104886965,1
0.44,4.64,9.139999,-0.04,0.08,0.41,1545104887165,1
-0.5,3.61,9.469999,-0.03,0.16,-0.38,1545104887365,1
0.17,4.5299997,8.82,-0.03,0.16,-0.38,1545104887564,1
0.04,5.3599997,9.139999,-0.01,-0.19999999,-0.72999996,1545104887764,0
-0.48,4.43,9.61,-0.03,-0.099999994,-0.14999999,1545104887964,0
-0.02,4.91,8.09,-0.08,0.0,0.31,1545104888164,0
