Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
0.58,-6.1299996,6.04,0.0,0.0,0.0,1545104151287,0
-1.25,-7.48,10.48,-0.099999994,-0.21,0.26999998,1545104151486,0
-0.02,-7.18,8.599999,0.04,-0.19999999,0.13,1545104151686,0
-0.42999998,-5.2,5.25,0.06,0.35999998,-0.48,1545104151886,0
-1.66,-6.6499996,6.0699997,0.17999999,-0.06,0.41,1545104152086,0
-3.8999999,-4.83,14.69,0.04,-0.06,-0.26999998,1545104152287,0
-0.06,-5.64,8.94,0.02,-0.02,0.089999996,1545104152487,0
-1.61,-5.6099997,7.5299997,0.049999997,-0.12,0.08,1545104152687,0
1.02,-7.2799997,5.13,0.06,0.19,-0.38,1545104152887,0
-2.11,-7.89,7.62,0.02,0.01,0.34,1545104153087,0
-2.5,-4.2599998,11.73,0.03,0.08,-0.12,1545104153285,0
-0.84999996,-4.87,11.19,0.12,0.17999999,-0.56,1545104153485,0
-1.8399999,-4.88,7.43,-0.07,-0.06,0.39999998,1545104153685,0
-0.48,-6.7599998,8.28,0.01,-0.12,-0.049999997,1545104153885,0
-0.45,-4.24,6.46,0.07,0.17,-0.19,1545104154085,0
-2.44,-6.8999996,6.58,0.07,-0.14999999,0.26,1545104154285,0
0.32999998,-4.6,7.02,0.0,-0.24,0.11,1545104154485,0
-1.1999999,-3.6,5.04,0.089999996,0.22999999,-0.39999998,1545104154685,0
-0.31,-6.16,6.67,0.089999996,-0.04,0.03,1545104154885,0
0.049999997,-4.0,9.599999,-0.11,-0.049999997,0.19,1545104155085,0
0.28,-6.45,6.1099997,-0.01,-0.16,0.03,1545104155285,0
-0.59,-6.95,8.51,0.08,0.12,-0.25,1545104155485,0
-1.6899999,-5.4,8.099999,-0.02,0.17,0.19999999,1545104155685,0
-2.9099998,-8.94,2.73,-0.19999999,-0.63,1.02,1545104155885,0
0.59999996,-6.44,3.8,0.06,-0.049999997,-0.84999996,1545104156085,0
-3.6999998,-4.63,11.59,0.17999999,0.26999998,-0.44,1545104156285,0
-2.86,-2.75,7.79,0.049999997,0.089999996,-0.02,1545104156487,0
-1.11,-5.17,3.7099998,0.049999997,0.089999996,-0.32,1545104156687,0
-1.28,-6.62,9.69,0.02,0.099999994,-0.21,1545104156887,0
-1.28,-6.62,9.69,0.0,0.099999994,-0.21,1545104157086,1
-2.3899999,-8.66,1.25,0.13,0.12,-0.58,1545104157286,1
1.5,-4.48,7.66,0.24,0.13,-0.41,1545104157486,1
-1.9799999,-5.8599997,9.25,-0.16,0.13,-0.56,1545104157687,1
-0.19,-5.68,5.0099998,0.04,0.17,-0.88,1545104157887,1
0.13,-7.97,13.46,-0.089999996,0.02,-0.97999996,1545104158087,1
0.13,-7.97,13.46,0.04,-0.17,-1.25,1545104158286,1
-4.23,-4.54,6.3199997,-0.22999999,-0.62,-1.74,1545104158486,1
-32.62,14.429999,7.5299997,1.9599999,-2.0,-1.06,1545104158686,1
7.43,6.7,3.03,0.65,2.29,1.8299999,1545104158887,1
14.03,-3.08,9.73,0.22999999,-0.98999995,1.16,1545104159085,1
38.469997,19.02,34.059998,0.52,-0.14999999,-1.1999999,1545104159285,1
9.15,8.61,12.87,-0.01,-0.22999999,-0.59,1545104159485,1
9.849999,-1.24,3.75,-0.12,-0.02,0.48999998,1545104159685,1
9.059999,-1.79,3.28,-0.03,-0.06,0.26,1545104159909,0
9.5,-0.58,3.26,0.049999997,0.0,-0.11,1545104160085,0
9.24,-1.23,3.3999999,0.0,-0.02,0.06,1545104160285,0
9.2699995,-0.95,3.4099998,0.02,0.0,-0.02,1545104160485,0
9.389999,-0.97999996,3.4299998,0.0,0.0,0.01,1545104160685,0
9.34,-1.14,3.35,0.0,-0.01,0.02,1545104160885,0
9.29,-1.06,3.35,0.01,0.0,-0.01,1545104161085,0
