Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status
0.53999996,5.56,9.33,-0.02,0.06,0.02,1545105129824,0
0.84,4.74,8.61,0.04,0.049999997,0.17,1545105130024,0
1.09,5.7599998,7.39,-0.06,-0.22999999,-0.64,1545105130224,0
1.1899999,7.0699997,8.349999,0.11,-0.13,-0.14999999,1545105130424,0
0.42999998,4.5899997,10.69,0.12,0.14999999,0.41,1545105130624,0
1.77,5.79,9.139999,0.02,0.049999997,0.13,1545105130824,0
-0.66999996,3.81,9.4,-0.01,0.0,-0.17999999,1545105131024,0
1.1999999,6.0699997,7.8399997,0.04,-0.25,-0.59999996,1545105131224,0
0.19,8.099999,8.0,0.17999999,-0.19,-0.099999994,1545105131424,0
1.3199999,6.42,7.8799996,0.16,0.099999994,0.28,1545105131624,0
0.03,4.47,8.62,0.049999997,-0.01,0.34,1545105131824,0
0.78999996,4.0899997,9.099999,0.06,0.08,0.22999999,1545105132024,0
2.28,5.81,7.56,0.24,-0.07,-0.26,1545105132224,0
0.42,4.8599997,9.41,0.049999997,-0.01,-0.07,1545105132424,0
0.75,5.13,7.3999996,0.13,0.11,0.34,1545105132624,0
1.39,3.6299999,9.25,-0.04,0.02,0.26999998,1545105132824,0
2.85,4.13,9.53,0.06,-0.11,-0.29,1545105133024,0
3.03,5.5099998,8.12,-0.049999997,-0.19,-0.22,1545105133224,0
-0.089999996,2.78,8.99,-0.049999997,0.06,0.35999998,1545105133424,0
1.4699999,3.1699998,8.29,0.04,0.14,0.16,1545105133624,0
1.43,2.85,10.37,0.04,0.14,0.16,1545105133824,0
1.79,5.06,9.17,0.03,-0.02,-0.47,1545105134024,0
1.2099999,4.24,8.4,0.08,-0.07,-0.42,1545105134224,0
-0.59,3.8999999,10.559999,0.11,0.06,-0.089999996,1545105134424,0
1.25,4.64,10.219999,0.089999996,0.01,0.07,1545105134624,0
1.68,3.82,10.55,0.04,0.02,0.17,1545105134824,0
1.9499999,4.58,8.55,-0.02,-0.049999997,-0.22999999,1545105135024,0
1.68,4.11,8.67,0.03,-0.07,-0.16,1545105135224,0
-0.48999998,4.37,9.179999,-0.049999997,0.07,0.25,1545105135424,1
1.4699999,4.45,9.69,-0.049999997,-0.14,-0.22999999,1545105135625,1
2.58,8.7699995,7.2999997,0.17999999,-0.099999994,1.15,1545105135828,1
0.78999996,2.77,9.38,0.17999999,-0.099999994,1.15,1545105136024,1
3.22,1.9699999,9.7,-0.08,-0.06,1.14,1545105136223,1
1.9599999,-1.05,10.11,0.0,-0.07,1.2099999,1545105136424,1
6.14,-0.89,13.049999,0.049999997,-0.21,1.18,1545105136624,1
5.3599997,-0.95,10.849999,-0.04,-0.14999999,0.90999997,1545105136824,1
5.06,0.85999995,7.41,0.5,-0.02,0.26999998,1545105137024,1
4.85,-1.15,7.98,0.26,0.0,0.21,1545105137224,1
5.49,2.1299999,8.87,0.39999998,0.38,1.18,1545105137424,1
4.39,1.55,6.6,0.02,0.14999999,0.45999998,1545105137626,1
4.15,2.1499999,9.7,0.02,0.14999999,0.45999998,1545105137823,1
3.56,3.51,7.87,0.32,0.44,0.0,1545105138024,1
1.8499999,0.24,10.7699995,0.08,0.29999998,-0.049999997,1545105138224,1
3.33,3.1899998,8.38,0.08,0.19999999,0.11,1545105138424,1
3.48,3.47,8.3,-0.07,0.049999997,-0.64,1545105138624,1
2.9199998,4.54,8.04,0.0,0.02,-0.63,1545105138823,1
0.21,3.31,7.87,0.0,0.02,-0.63,1545105139024,1
0.5,4.04,9.46,-0.049999997,-0.02,0.35,1545105139229,0
2.3899999,3.22,9.16,-0.049999997,-0.02,0.35,1545105139424,0
1.25,3.55,8.7,-0.11,0.12,0.61,1545105139624,0
