Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
2.44,8.84,5.06,0.47,0.14999999,-0.02,1544081175001,0,10.473910444528347
-0.32,4.18,7.69,0.24,0.22,-0.07,1544081175202,0,8.758475894811838
-0.65999997,5.8799996,6.45,-0.089999996,0.02,-0.26999998,1544081175401,0,8.75285640556271
1.8399999,6.1,7.37,-0.06,-0.11,0.099999994,1544081175601,0,9.742304636583688
2.73,6.72,9.37,-0.04,-0.04,0.13,1544081175802,0,11.849396609110523
1.13,7.99,7.8799996,0.14,0.089999996,0.16,1544081176001,0,11.278802848529633
1.6899999,8.38,11.17,0.29,0.13,-0.07,1544081176202,0,14.065894911522694
0.25,3.58,11.349999,0.14,0.26999998,-0.19999999,1544081176402,0,11.903838763188999
-0.53999996,10.11,11.599999,0.08,-0.19999999,-0.32999998,1544081176602,0,15.396872304361072
1.3299999,10.82,6.1,0.08,-0.19999999,-0.32999998,1544081176802,0,12.492049460917132
-0.74,9.0199995,11.55,0.93,0.01,0.0,1544081177001,1,14.67346213338898
0.51,12.219999,2.81,0.45999998,-0.12,0.41,1544081177204,1,12.549285858565856
1.0799999,13.9,4.02,0.45999998,-0.12,0.41,1544081177404,1,14.509886277431676
2.53,-9.19,13.24,0.68,0.13,0.22999999,1544081177601,1,16.3142453089317
1.1999999,-3.62,8.28,-1.37,0.13,0.35,1544081177802,1,9.11607370308073
-1.3199999,1.86,8.54,-1.3299999,-0.049999997,-0.03,1544081178002,1,8.839321225976574
1.6899999,6.1099997,9.559999,-0.66999996,0.01,-0.06,1544081178202,1,11.47091002824105
1.65,7.98,13.139999,-0.12,0.0,0.28,1544081178401,1,15.461645246221405
1.43,10.86,1.15,0.57,0.08,-0.41,1544081178602,1,11.013945705331945
-0.089999996,8.0,0.42,0.82,0.02,0.089999996,1544081178802,1,8.011522951304578
-1.3,-2.51,4.33,-1.1899999,-0.24,-0.22,1544081179001,1,5.170976696911329
2.56,17.289999,3.59,-1.1899999,-0.24,-0.22,1544081179202,1,17.84336754707477
2.6599998,1.9799999,14.62,0.65,0.049999997,0.08,1544081179401,1,14.991344120525017
0.049999997,21.89,9.58,1.14,-0.089999996,-0.099999994,1544081179602,1,23.89458097560407
4.69,2.62,31.789999,0.41,0.35,0.39,1544081179802,1,32.24072791392901
1.43,8.2699995,7.9199996,0.63,-0.38,-0.26999998,1544081180002,1,11.539678738769135
1.6999999,-4.48,15.82,-0.57,0.04,0.48,1544081180202,1,16.529754978825306
1.35,7.0899997,2.77,-0.57,0.04,0.48,1544081180402,1,7.73068533481994
-1.5799999,9.94,4.49,-0.35999998,0.089999996,-0.32,1544081180601,1,11.020893778818486
2.1,4.75,4.37,0.93,-0.19,-0.45,1544081180801,1,6.787444290747438
-0.48999998,6.41,7.68,0.02,-0.08,0.29999998,1544081181002,1,10.015517958667939
3.29,1.12,9.389999,-0.11,-0.02,0.089999996,1544081181202,1,10.012521221950093
1.03,2.72,7.77,-0.63,-0.13,0.32,1544081181402,1,8.296517341631969
-1.63,5.48,8.78,-0.29999998,0.14,-0.14,1544081181602,1,10.477389942156396
0.51,6.8599997,9.41,0.0,0.13,-0.19999999,1544081181802,1,11.65623420680968
1.04,7.89,9.63,0.53999996,-0.099999994,-0.47,1544081182002,1,12.492821939017622
-2.9199998,5.89,6.0,-0.08,0.28,0.61,1544081182202,1,8.900477449665273
0.94,1.4699999,8.86,-0.13,-0.14,-0.89,1544081182402,1,9.030177169136827
2.37,8.34,9.29,-0.19,-0.45,-0.11,1544081182602,1,12.707344333101231
-0.42999998,5.06,12.67,0.29999998,0.19,0.75,1544081182802,1,13.649813184904767
0.96999997,6.21,2.3799999,-0.16,-0.19,-0.32,1544081183002,0,6.720818362803745
0.45999998,0.24,7.41,-0.16,-0.19,-0.32,1544081183201,0,7.428142431429274
0.74,4.5699997,12.59,-0.41,-0.04,0.17999999,1544081183402,0,13.414193872834852
0.13,7.73,8.04,-0.17,-0.03,0.32999998,1544081183602,0,11.153985834669147
1.9799999,4.27,9.29,0.099999994,0.01,0.13,1544081183802,0,10.414288242794127
1.04,6.1,8.16,-0.099999994,-0.32,-0.22,1544081184001,0,10.240956986532069
2.23,4.73,8.07,0.11,-0.13,0.14999999,1544081184202,0,9.616168675725277
1.36,4.1,7.71,-0.11,0.049999997,0.19999999,1544081184403,0,8.837629772738842
1.6999999,6.3599997,8.86,-0.11,0.049999997,0.19999999,1544081184601,0,11.038079354851554
2.02,6.66,7.87,0.11,0.11,0.22,1544081184801,0,10.505850750891144
