Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-2.318379,5.7887626,8.998089,-0.019115863,-0.13700323,-0.23799033,1539843194151,0,10.947614319052382
0.7951465,3.1901662,12.149935,-0.08835805,0.16340135,0.659495,1539843194271,0,12.58691141004455
0.62031007,5.47262,8.990904,-0.08835805,0.16340135,0.659495,1539843194372,0,10.543752130269349
-0.5963599,6.09772,9.256751,-0.030833771,0.27205834,-0.06861329,1539843194520,0,11.100687969884074
-0.15328126,6.847361,9.223221,0.12043378,-0.3553824,-0.73919725,1539843194620,0,11.488152742013366
0.15328126,5.630691,3.774551,-0.020181127,0.22518669,0.61315596,1539843194768,0,6.780517055044489
-2.3447242,11.520044,0.4047583,-0.020181127,0.22518669,0.61315596,1539843194869,0,11.763204266585722
-0.99393314,6.0426345,11.373948,0.22429706,0.23583934,0.031521566,1539843195018,0,12.917740820053814
0.58198977,9.366921,8.689131,-0.022311656,-0.09013158,0.1790607,1539843195143,0,12.789797443579262
2.1363575,6.2653713,10.657837,-0.012191645,-0.0970558,-0.15063865,1539843195266,0,12.546250053830386
-1.7675245,7.6113725,7.94907,-0.037757993,-0.3303487,-0.5399928,1539843195417,0,11.146517306170411
2.9961696,6.2965064,8.974138,-0.028703243,0.11013814,1.1292765,1539843195560,0,11.364777954727014
1.2981006,6.5144534,-1.5016773,0.29726768,0.42226064,-0.8638332,1539843195664,0,6.810154402201701
-1.9184108,5.261858,6.75156,0.29726768,0.42226064,-0.8638332,1539843195765,0,8.772172595390531
-3.6404297,2.0980372,20.851042,-0.12351178,-0.0342052,-0.5559718,1539843195910,0,21.270177267220646
-2.5339308,-3.9901028,26.345217,0.2035244,-0.061902076,0.22060601,1539843196016,1,26.76587724007651
-1.5280225,7.4652762,12.765454,-0.17890553,-0.049651533,0.09437217,1539843196132,1,14.866809251783272
-1.2837305,16.604671,-2.1818628,-0.17890553,-0.049651533,0.09437217,1539843196255,1,16.79653500853361
-2.1674929,9.515413,1.707649,-0.43350372,-0.12688321,0.16787542,1539843196357,1,9.907430299493427
0.2706372,4.9552956,20.000809,0.22802548,-0.023019921,0.30050084,1539843196508,1,20.607293845429687
-0.45026368,3.9805226,11.148816,0.029886302,-0.07681578,0.18172386,1539843196609,1,11.846661797843893
-0.9388477,8.600515,1.83219,0.029886302,-0.07681578,0.18172386,1539843196757,1,8.843484237851069
-2.4045997,7.4676714,0.90052736,-0.1783729,-0.06509786,0.31594718,1539843196859,1,7.896781963668912
-0.26105714,7.213799,9.845925,-0.1336318,0.0052095866,0.58332855,1539843197006,1,12.208574279921917
0.23471193,10.880574,11.02188,-0.13256654,-0.008638851,0.45443156,1539843197109,1,15.489474458288129
2.191443,7.1706886,-4.5864625,0.3356172,-0.08214209,0.4586926,1539843197239,1,8.78958677551597
-5.7815776,15.986756,-10.085427,0.3356172,-0.08214209,0.4586926,1539843197352,1,19.766609337989323
-2.8979738,2.7542725,14.588064,-0.21086347,-0.13274217,0.7393898,1539843197454,1,15.126000146034597
-2.3471193,18.848804,2.1722827,0.35958567,-0.09172948,0.9311374,1539843197556,1,19.11819011746582
-4.4403663,-7.94907,19.174528,0.35958567,-0.09172948,0.9311374,1539843197702,1,21.22656568467588
-2.1531227,-2.6560767,11.527229,-0.2529414,-0.38893825,1.3689611,1539843197850,1,12.023630450740706
-1.3819263,2.4501052,10.128538,0.22855811,-0.43154883,1.7045194,1539843197950,1,10.51189886781369
-4.3493557,-6.854546,9.934542,0.38941306,-0.8619157,2.3649833,1539843198095,1,12.829529243935745
-28.996502,-33.901505,-33.257244,-0.4031437,-2.7879138,2.6281037,1539843198243,1,55.64308984929364
-8.006551,-12.439732,2.9626393,-4.89856,1.3144196,3.9128127,1539843198392,1,15.087379585909856
-6.7731156,-4.26074,6.8114357,-1.7320611,-1.205996,-3.8273988,1539843198494,1,10.508313688399193
3.0847852,33.496746,-21.739594,-1.7320611,-1.205996,-3.8273988,1539843198613,1,40.05193927394142
-48.19019,-6.8593364,28.831245,-1.1988963,4.0995536,-2.8313766,1539843198739,1,56.57371824738489
1.9854712,-3.8751419,3.537444,1.9585476,-2.5508926,-6.8751206,1539843198839,1,5.610020560060457
-1.6860938,-8.313113,0.24908204,-0.43936267,1.2233396,1.5692308,1539843198969,1,8.486035700833341
2.1052222,0.6586304,-0.91250247,-0.43936267,1.2233396,1.5692308,1539843199086,1,2.3871353696288575
11.903248,2.1507277,2.3471193,-0.28543198,0.34715948,1.8376774,1539843199234,1,12.32160345074795
4.773274,1.456172,0.8861573,-0.3935563,0.51653653,-0.07713541,1539843199338,0,5.068516186518821
8.710687,-2.088457,2.560276,-0.4265795,0.45421857,0.792653,1539843199438,0,9.316261795859646
11.292518,-4.006868,4.749324,-0.4265795,0.45421857,0.792653,1539843199581,0,12.889221559377587
8.792117,1.2502003,2.565066,0.10392218,-0.059771545,-0.0068279547,1539843199730,0,9.243586193473021
8.643626,1.0490186,4.414021,0.13268432,0.16659714,0.50023794,1539843199878,0,9.761981962668388
10.748848,-0.07185059,4.287085,0.29780033,0.023319082,-0.028133243,1539843199979,0,11.5724670503576
9.975257,0.9412427,3.307522,0.38621727,0.03716752,-0.10802808,1539843200105,0,10.551369191571125
9.129815,1.1735597,2.5985963,0.18914333,0.024384348,-0.03931852,1539843200228,0,9.564699003840255
