Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
1.8299999,6.5499997,7.93,0.12,-0.28,-0.84999996,1544082204089,0,10.44683185008738
0.04,6.3999996,7.87,-0.049999997,0.17,0.5,1544082204289,0,10.143889534098848
-0.42,5.7,9.41,-0.11,-0.01,0.26999998,1544082204488,0,11.009745682803032
1.13,5.52,8.15,-0.11,-0.01,0.26999998,1544082204689,0,9.908067420037067
0.91999996,3.87,7.83,-0.01,-0.01,0.17,1544082204889,0,8.782493946846762
1.0699999,6.6,7.85,0.0,0.0,-0.14,1544082205089,0,10.311517821640033
0.28,7.81,8.929999,0.13,0.01,-0.099999994,1544082205290,0,11.866734266006002
0.41,7.02,7.91,0.26999998,0.089999996,0.14999999,1544082205489,0,10.583789491481772
0.82,4.3399997,9.09,0.08,0.0,0.12,1544082205690,0,10.10624051742289
0.68,6.2999997,9.13,-0.13,0.02,0.049999997,1544082205890,0,11.11347363428735
2.07,5.37,8.17,-0.02,-0.11,-0.38,1544082206090,0,9.993532908836594
-0.39999998,5.0699997,9.0,-0.049999997,-0.17999999,-0.32999998,1544082206290,0,10.3375479172771
1.11,5.23,9.139999,0.08,0.04,0.13,1544082206490,0,10.58888954140145
-0.12,6.43,8.54,0.12,-0.02,0.32999998,1544082206690,0,10.690692213322764
0.53999996,5.23,9.53,0.11,0.12,0.14999999,1544082206890,0,10.884181179895895
1.4599999,4.23,8.96,-0.12,-0.22,-0.38,1544082207090,0,10.015293291162273
0.38,4.8399997,8.94,-0.03,0.07,0.29999998,1544082207290,0,10.173180284257233
0.28,5.33,10.17,0.11,0.04,-0.07,1544082207490,0,11.485477787188481
1.5799999,4.96,8.809999,0.01,0.02,0.22999999,1544082207690,0,10.23298988878622
1.8199999,5.89,10.08,0.099999994,0.04,0.14999999,1544082207890,0,11.815705634281857
2.06,4.41,8.599999,-0.26,-0.089999996,0.07,1544082208094,1,9.881886601251859
0.83,3.6399999,8.92,-0.24,0.11,0.17,1544082208291,1,9.669793134912453
0.83,3.8799999,9.2699995,-0.24,0.11,0.17,1544082208492,1,10.083461209029382
-0.24,5.5099998,7.8599997,-0.089999996,0.0,0.02,1544082208689,1,9.601942151460825
1.6999999,3.82,9.26,0.17999999,-0.099999994,-0.099999994,1544082208889,1,10.160216516393733
1.49,4.27,7.74,-0.25,-0.24,0.16,1544082209089,1,8.96440739814964
0.68,4.52,8.97,-0.12,0.01,0.52,1544082209289,1,10.067457474456994
2.4299998,4.5499997,11.62,0.07,-0.07,0.52,1544082209489,1,12.713449425627967
2.82,-0.52,11.99,0.01,0.17999999,1.99,1544082209689,1,12.32813448985693
4.52,2.58,10.41,0.01,0.17999999,1.99,1544082209889,1,11.638509354724084
3.3999999,3.9399998,10.26,0.72999996,0.19999999,1.12,1544082210089,1,11.504399060533325
8.15,2.6499999,5.8399997,0.72999996,0.19999999,1.12,1544082210290,1,10.37066034377754
4.36,-2.56,8.08,0.51,0.25,1.0,1544082210489,1,9.531505652309084
2.26,6.3199997,7.89,0.45999998,0.25,0.11,1544082210689,1,10.358672511861743
3.55,4.2,8.139999,-0.01,0.089999996,-0.049999997,1544082210889,1,9.823547410177293
4.48,1.42,8.139999,-0.07,0.14999999,0.02,1544082211089,1,9.399275701882619
2.27,3.55,9.55,0.0,0.24,0.099999994,1544082211289,1,10.438290089856672
4.17,6.73,7.0499997,0.0,0.24,0.099999994,1544082211490,1,10.601145964941718
2.56,3.9099998,9.23,0.08,0.04,0.089999996,1544082211690,1,10.345752676146867
1.75,4.5899997,9.0199995,-0.06,0.12,-0.24,1544082211890,1,10.270880596424066
3.6699998,5.7599998,8.33,0.08,-0.03,-0.42999998,1544082212090,1,10.771972717566642
0.83,4.48,8.179999,0.03,0.02,-0.24,1544082212289,0,9.363315846429673
1.14,6.64,9.05,-0.03,0.12,-0.049999997,1544082212490,0,11.282362341282965
1.52,6.27,9.37,0.19999999,-0.06,-0.32,1544082212693,0,11.376299925722773
1.5,5.21,8.429999,0.19999999,-0.06,-0.32,1544082212889,0,10.022922884069347
2.6,5.15,8.33,-0.01,-0.24,-0.56,1544082213089,0,10.13268967254006
0.099999994,4.63,8.599999,0.04,0.06,0.25,1544082213289,0,9.767644690446158
0.63,5.56,8.98,0.04,0.11,0.07,1544082213489,0,10.580685233008305
2.09,5.43,8.24,0.03,0.06,0.22,1544082213689,0,10.087150241767988
0.96,5.14,9.04,0.02,-0.049999997,-0.19,1544082213889,0,10.44331365036979
