Acc_X,Acc_Y,Acc_Z,gyro_X,gyro_Y,gyro_Z,time,status,Acc
-1.04,4.5499997,9.2,-0.01,0.06,0.17,1544082382060,0,10.316205565516814
-1.01,5.7599998,7.7999997,-0.08,0.25,0.53,1544082382260,0,9.748727763970031
0.71,5.47,7.95,-0.17,-0.11,-0.34,1544082382460,0,9.67613042491677
-1.65,4.7,7.66,-0.02,-0.14999999,-0.089999996,1544082382660,0,9.137182279017969
0.96999997,4.2999997,8.51,-0.049999997,0.049999997,0.02,1544082382859,0,9.58389259965908
-1.12,6.21,7.31,0.0,0.06,0.03,1544082383059,0,9.656842133948343
0.17999999,7.22,6.83,0.06,0.049999997,0.11,1544082383260,0,9.940306836129356
0.57,5.0899997,12.15,-0.03,-0.16,-0.17999999,1544082383460,0,13.185427446465287
-1.4,5.3599997,9.44,0.32,-0.04,0.02,1544082383660,0,10.945464667340536
-1.22,3.62,8.71,-0.22,0.07,0.22,1544082383860,0,9.510883239741723
-0.75,5.3199997,8.7699995,-0.22,0.07,0.22,1544082384060,0,10.284832912497915
-0.47,4.8599997,9.73,0.0,0.0,-0.03,1544082384260,0,10.886385859595466
0.56,3.46,9.53,-0.17999999,-0.049999997,0.19999999,1544082384460,0,10.154117391482137
-0.049999997,3.02,9.04,-0.22999999,-0.13,-0.21,1544082384660,0,9.531238114730948
-0.41,3.9399998,8.82,-0.32,-0.02,0.099999994,1544082384860,0,9.668717517023653
-0.03,6.02,6.56,-0.19999999,0.099999994,0.07,1544082385060,0,8.90364532087841
-0.95,6.6499996,7.21,0.0,0.0,0.0,1544082385260,0,9.854394688665568
0.42,5.93,8.11,0.12,0.0,-0.049999997,1544082385460,0,10.055515899246542
-1.62,5.47,8.38,-0.16,-0.19,-0.37,1544082385660,0,10.137539149122928
0.099999994,5.17,8.53,-0.07,-0.04,-0.07,1544082385860,0,9.974958646470672
-1.0799999,5.39,7.7999997,0.01,0.06,0.32,1544082386060,0,9.542457498150048
-1.16,5.49,9.19,-0.08,0.01,-0.11,1544082386260,0,10.767627408115494
0.32999998,4.87,9.389999,-0.13,-0.049999997,0.02,1544082386460,0,10.582905140215564
-0.48,5.38,9.23,0.049999997,-0.14999999,-0.26999998,1544082386660,0,10.694283519712764
-1.4599999,5.77,8.17,0.07,-0.099999994,-0.35,1544082386860,0,10.108085857767533
-0.12,5.9,6.74,-0.13,0.11,0.45,1544082387059,1,8.958348062003397
0.9,5.73,7.2999997,-0.13,0.11,0.45,1544082387259,1,9.32378118683617
2.23,4.64,8.53,0.049999997,0.04,0.13,1544082387459,1,9.963101926609001
-1.28,5.54,8.47,0.0,0.0,-0.64,1544082387661,1,10.201514593431703
-1.79,3.53,9.75,0.06,-0.13,-1.31,1544082387859,1,10.5227135283633
-2.35,1.4499999,9.53,0.19,-0.11,-1.0,1544082388059,1,9.921990713057538
-2.58,2.96,9.13,-0.5,0.07,-0.72999996,1544082388259,1,9.938556233175923
-3.11,5.7599998,10.429999,0.08,-0.06,-1.14,1544082388459,1,12.313999221861314
-4.73,0.19,8.59,0.53,0.049999997,-1.24,1544082388659,1,9.808012030987728
-2.37,7.8799996,11.62,1.1,-0.12,-0.83,1544082388874,1,14.238528494756757
-3.6499999,4.4,8.429999,0.68,-0.26,-1.3399999,1544082389063,1,10.185645900481767
-3.47,-2.24,8.92,0.26999998,-0.14999999,-0.22999999,1544082389261,1,9.829796539094794
-6.44,-4.45,9.889999,0.26999998,-0.14999999,-0.22999999,1544082389459,1,12.613016301424533
-6.23,7.99,9.849999,0.53999996,-0.26999998,-0.06,1544082389661,1,14.130657461703649
-5.41,10.49,11.63,1.2099999,-0.39,-1.23,1544082389859,1,16.57000603500192
-5.27,1.0,7.08,0.58,-0.68,-1.0,1544082390059,1,8.882527793370533
-2.51,6.54,9.46,0.9,-0.29999998,-0.06,1544082390259,1,11.771291348021254
-2.73,2.95,8.0,0.26999998,-0.45,-0.62,1544082390459,0,8.952954819499539
-2.6699998,2.57,9.83,0.37,-0.42999998,-0.31,1544082390665,0,10.50536524505455
-0.38,5.0299997,9.74,0.37,-0.42999998,-0.31,1544082390859,0,10.968723580344255
-3.07,6.7799997,7.56,0.29999998,-0.32,0.25,1544082391059,0,10.608812182897768
0.47,5.62,7.85,0.16,-0.19999999,0.22,1544082391259,0,9.665805708785998
-1.53,4.0499997,9.58,0.16,-0.19999999,0.22,1544082391459,0,10.512839653014789
-0.71999997,7.3199997,10.04,0.02,-0.26999998,-0.29999998,1544082391659,0,12.44597909225305
-0.85999995,5.7799997,8.599999,0.03,0.02,0.61,1544082391859,0,10.397498701418582
